epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.16557007,0.008242819,0.74247664,0.0042490014,0.0
1,0.1652902,0.008196578,0.7428167,0.0044313646,0.0062500000931322575
2,0.1653616,0.008269784,0.74313873,0.004417514,0.0
3,0.16571404,0.008449964,0.7434986,0.004326323,0.0062500000931322575
4,0.16594267,0.008652337,0.743818,0.004189148,0.0
5,0.16624847,0.008837484,0.74496675,0.00426082,0.01875000074505806
6,0.1668437,0.009151112,0.7469514,0.004433777,0.05000000074505806
7,0.16736698,0.009493154,0.7484657,0.004530229,0.04375000298023224
8,0.16781329,0.009975107,0.75006217,0.004574371,0.18125000596046448
9,0.16837619,0.010482264,0.75257117,0.004655026,0.11875000596046448
10,0.16904232,0.011166735,0.755496,0.0047455393,0.08124999701976776
11,0.16974205,0.011657989,0.7587727,0.0048148907,0.10625000298023224
12,0.17041102,0.012193246,0.7618771,0.0048241825,0.16249999403953552
13,0.17109387,0.01261258,0.76499254,0.004853649,0.18125000596046448
14,0.17184617,0.013018567,0.76749736,0.0048516695,0.21250000596046448
15,0.17238197,0.013497696,0.76916367,0.0048618093,0.19374999403953552
16,0.17287126,0.013818523,0.77069265,0.004889008,0.26875001192092896
17,0.17330149,0.014068292,0.7717597,0.0049169604,0.39375001192092896
18,0.17359889,0.014253705,0.77291733,0.0049585807,0.42500001192092896
19,0.17389905,0.014465603,0.774111,0.004986555,0.42500001192092896
20,0.17421016,0.01478038,0.7756346,0.0050284406,0.36250001192092896
21,0.17463537,0.014898359,0.7776017,0.0050616194,0.4750000238418579
22,0.17508937,0.015029171,0.77966064,0.005099946,0.5
23,0.17548317,0.01515345,0.7814742,0.005126067,0.40625
24,0.17585798,0.015303527,0.7832413,0.0051498036,0.46875
25,0.17624487,0.015443294,0.78484064,0.0051794057,0.45625001192092896
26,0.17656942,0.015623062,0.78634,0.005193884,0.38750001788139343
27,0.17691168,0.015806764,0.78777146,0.0052010566,0.4375
28,0.1772328,0.015968509,0.78906614,0.0052019465,0.48124998807907104
29,0.17753178,0.016115714,0.7903292,0.005202338,0.5874999761581421
30,0.17778647,0.016249638,0.7914741,0.0051966556,0.5625
31,0.17801693,0.016361294,0.792511,0.005197856,0.5437500476837158
32,0.17821284,0.016457545,0.7935676,0.005198563,0.46875
33,0.17837122,0.016557576,0.7943492,0.0051909974,0.606249988079071
34,0.1785412,0.01668448,0.7950638,0.0051788315,0.6000000238418579
35,0.17869818,0.016749993,0.7957101,0.005167728,0.5750000476837158
36,0.1788665,0.016836505,0.7962985,0.0051518497,0.6437499523162842
37,0.1790082,0.016911782,0.7969365,0.0051382477,0.643750011920929
38,0.1791497,0.016925823,0.79757404,0.0051257405,0.6812499761581421
39,0.1793026,0.016998233,0.79811174,0.0051113837,0.7749999761581421
40,0.1794199,0.017076464,0.7985874,0.0050917957,0.7062499523162842
41,0.17952517,0.01714346,0.7990481,0.00506743,0.6937499642372131
42,0.17965433,0.017197067,0.79962903,0.0050555,0.768750011920929
43,0.17973459,0.017220918,0.7999509,0.005035262,0.706250011920929
44,0.17985229,0.017250631,0.80040383,0.005017647,0.7875000238418579
45,0.17991966,0.017313138,0.8006746,0.005001673,0.8500000238418579
46,0.18000153,0.017388824,0.80099183,0.004979402,0.800000011920929
47,0.1800825,0.017475972,0.8012631,0.004965169,0.7875000238418579
48,0.18014859,0.017509585,0.80151254,0.004942099,0.824999988079071
49,0.18022592,0.017602123,0.8018243,0.004926536,0.7124999761581421
50,0.18028592,0.01767338,0.8020018,0.0049127983,0.8562500476837158
51,0.18034793,0.017707724,0.80227375,0.0048991344,0.831250011920929
52,0.18042426,0.017748687,0.8026169,0.0048843706,0.8250000476837158
53,0.18049657,0.017796583,0.8028929,0.004870126,0.7374999523162842
54,0.18057293,0.017866012,0.8031512,0.004855506,0.800000011920929
55,0.18064518,0.017903628,0.8033683,0.004843553,0.6937500238418579
56,0.18068853,0.017956544,0.8035565,0.004831065,0.800000011920929
57,0.18073802,0.018003624,0.80377203,0.0048148166,0.768750011920929
58,0.18080026,0.018017158,0.8039891,0.004802642,0.731249988079071
59,0.18085404,0.018030196,0.8041218,0.004791372,0.7625000476837158
60,0.18091188,0.018055016,0.80431277,0.0047791456,0.800000011920929
61,0.18095304,0.018081037,0.8044522,0.0047671166,0.8125
62,0.1810059,0.018114902,0.80464506,0.004757561,0.875
63,0.18106017,0.018145353,0.8049285,0.004746066,0.762499988079071
64,0.18112285,0.018167818,0.805132,0.004732572,0.768750011920929
65,0.18116665,0.01819431,0.80530196,0.004720098,0.8624999523162842
66,0.1812026,0.018205207,0.8054847,0.004708946,0.875
67,0.18123898,0.018219098,0.8056806,0.0046988926,0.7437499761581421
68,0.18128039,0.018234368,0.805906,0.00469117,0.7875000238418579
69,0.18131958,0.018237146,0.80606586,0.0046792333,0.8125
70,0.18134624,0.018253464,0.80618984,0.004671168,0.78125
71,0.18137427,0.018262146,0.80630296,0.00466355,0.8562500476837158
72,0.18140171,0.018250763,0.80647826,0.004656366,0.875
73,0.18143125,0.018261574,0.80661255,0.00464577,0.7875000238418579
74,0.18146059,0.018287266,0.8067506,0.0046376507,0.8187499642372131
75,0.18149002,0.018287795,0.80688244,0.004627187,0.8250000476837158
76,0.18152027,0.018291675,0.80701834,0.004618596,0.8500000238418579
77,0.18154092,0.018303009,0.807075,0.0046130293,0.8187499642372131
78,0.181551,0.018331341,0.80714756,0.0046081697,0.8937499523162842
79,0.18160516,0.018339794,0.8072834,0.0046015154,0.8374999761581421
80,0.18165332,0.018363914,0.8074453,0.004597111,0.78125
81,0.18168366,0.018378783,0.8075383,0.004588969,0.824999988079071
82,0.18170366,0.018398602,0.80764896,0.004582017,0.8500000238418579
83,0.18173508,0.018424705,0.8077546,0.004575728,0.8687499761581421
84,0.18177694,0.01846302,0.80790466,0.004568821,0.862500011920929
85,0.1818097,0.018478144,0.80804515,0.0045609646,0.8875000476837158
86,0.18182933,0.018510005,0.8081296,0.0045541744,0.875
87,0.18184024,0.018533448,0.80818075,0.0045488547,0.8062499761581421
88,0.18185514,0.018561386,0.80819035,0.0045420565,0.75
89,0.18188313,0.018576639,0.80825466,0.004534409,0.862500011920929
90,0.18190977,0.01858543,0.80834293,0.0045257793,0.875
91,0.18193145,0.018596828,0.8084111,0.0045198146,0.84375
92,0.18194677,0.018616946,0.8084704,0.0045148353,0.8500000238418579
93,0.18196666,0.018658413,0.808561,0.0045083915,0.84375
94,0.1819809,0.018656915,0.808631,0.0045025437,0.8250000476837158
95,0.1819997,0.01865871,0.8087401,0.0044955593,0.8499999642372131
96,0.18202911,0.018650243,0.8088231,0.004488731,0.893749988079071
