epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.16539635,0.0082897,0.7417257,0.004291073,0.0
1,0.16486394,0.016400203,0.7397066,0.0039599645,0.0
2,0.16448759,0.018423943,0.7397006,0.0038727329,0.0
3,0.16469349,0.019201647,0.7396614,0.0037674226,0.0062500000931322575
4,0.16522485,0.02011058,0.7401161,0.003546901,0.0
5,0.16580191,0.020658223,0.74106175,0.0035383943,0.012500000186264515
6,0.16613151,0.020408502,0.74228644,0.003630581,0.03750000149011612
7,0.16653074,0.02053477,0.7435731,0.0037315947,0.02500000037252903
8,0.16696028,0.020936077,0.7448704,0.003812776,0.06875000149011612
9,0.16733068,0.021001898,0.74530053,0.0037922775,0.05625000223517418
10,0.16767794,0.021196563,0.74618864,0.0037394892,0.11249999701976776
11,0.16829686,0.021584399,0.74810904,0.0037497245,0.17500001192092896
12,0.16903187,0.021530807,0.75079805,0.003805033,0.16250000894069672
13,0.16982038,0.021545727,0.75308853,0.0038241874,0.16875000298023224
14,0.17048398,0.021498712,0.7551299,0.0038302105,0.18125000596046448
15,0.17088142,0.021331199,0.75669247,0.0038572133,0.20000000298023224
16,0.1712986,0.021308644,0.75816625,0.0038738966,0.20000000298023224
17,0.17179176,0.021316826,0.7598774,0.0039309305,0.25
18,0.17249,0.021241898,0.7623134,0.003996504,0.28125
19,0.17310631,0.021212772,0.7648292,0.0040932763,0.3812500238418579
20,0.17376196,0.021161733,0.7674143,0.0041946718,0.32499998807907104
21,0.1743924,0.021022676,0.76956487,0.004248426,0.38749998807907104
22,0.17498805,0.020951256,0.77166253,0.00431067,0.3812500238418579
23,0.17552498,0.021058269,0.7736082,0.0043628165,0.3187499940395355
24,0.17609563,0.020981675,0.77556276,0.00439195,0.3499999940395355
25,0.17660895,0.021095283,0.7774274,0.004444213,0.3687500059604645
26,0.17708552,0.021120565,0.7793613,0.0044874405,0.40625
27,0.1775849,0.021155573,0.7811246,0.004511707,0.48124998807907104
28,0.17804018,0.021164177,0.782769,0.0045477245,0.4312499761581421
29,0.17843491,0.02111806,0.7844623,0.004575806,0.4124999940395355
30,0.17888789,0.021147955,0.786294,0.0046341927,0.512499988079071
31,0.17930278,0.021101482,0.78797513,0.0046765734,0.512499988079071
32,0.17968397,0.020996755,0.78956574,0.0046988293,0.48124998807907104
33,0.18002062,0.020939583,0.79097587,0.004711937,0.5437500476837158
34,0.18035169,0.020891001,0.7922261,0.004726101,0.5375000238418579
35,0.18062249,0.02082794,0.79346895,0.0047384296,0.5
36,0.18085259,0.020791955,0.79463,0.0047450555,0.6000000238418579
37,0.18108945,0.02070084,0.7957166,0.0047484715,0.6000000238418579
38,0.18126898,0.020624766,0.79661983,0.004751827,0.6312500238418579
39,0.18148158,0.020602295,0.7975428,0.0047469526,0.6187500357627869
40,0.18167074,0.02064299,0.7984217,0.004740355,0.6625000238418579
41,0.18181479,0.020609811,0.7991681,0.0047381404,0.6000000238418579
42,0.18195969,0.02056838,0.79995877,0.004741223,0.6499999761581421
43,0.18216059,0.020561533,0.8008292,0.00474247,0.5437500476837158
44,0.18234551,0.020540558,0.80169034,0.004740289,0.6437499523162842
45,0.18249674,0.020502245,0.8024419,0.00473964,0.6312500238418579
46,0.18265304,0.020469096,0.803132,0.0047385474,0.675000011920929
47,0.1828062,0.0204809,0.8038211,0.004736712,0.637499988079071
48,0.18289228,0.020455163,0.8043291,0.004734647,0.6375000476837158
49,0.18302399,0.020487212,0.80481505,0.004725089,0.65625
50,0.18313009,0.020466326,0.80524,0.0047158883,0.699999988079071
51,0.183239,0.020469867,0.80570406,0.004708815,0.731249988079071
52,0.18334743,0.020434797,0.8061697,0.0046993312,0.675000011920929
53,0.18345729,0.020466922,0.8065586,0.004688521,0.75
54,0.18356863,0.020510897,0.8069315,0.0046806834,0.7124999761581421
55,0.18366939,0.020475497,0.80723524,0.004671714,0.6875
56,0.18378666,0.020466777,0.8075566,0.0046682744,0.699999988079071
57,0.18386364,0.02050597,0.8078955,0.004661204,0.625
58,0.18398483,0.020518193,0.80825776,0.004656037,0.7249999642372131
59,0.18405415,0.020501126,0.80853486,0.004646346,0.6875
60,0.18411875,0.020532796,0.808794,0.0046417634,0.7562500238418579
61,0.18421364,0.020553896,0.8090587,0.0046323533,0.7875000238418579
62,0.18427666,0.020582609,0.8092436,0.0046303864,0.7250000238418579
63,0.18436073,0.020595875,0.80952954,0.004620261,0.75
64,0.18445715,0.020607904,0.80982715,0.0046108584,0.75
