epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.16559705,0.008267821,0.74214774,0.004554136,0.012500000186264515
1,0.16436522,0.015399592,0.74052733,0.0040163486,0.0
2,0.16382022,0.017864853,0.7390943,0.00375143,0.0062500000931322575
3,0.16431299,0.018881502,0.739549,0.0036318672,0.0
4,0.16471691,0.019508073,0.7399234,0.00360681,0.012500000186264515
5,0.16504933,0.019800287,0.7409255,0.0036422675,0.0
6,0.1653269,0.01995754,0.74127316,0.0036142133,0.012500000186264515
7,0.16620952,0.02039618,0.7428224,0.003701409,0.02500000037252903
8,0.16664943,0.020503484,0.74455285,0.0038049137,0.03750000149011612
9,0.16729459,0.020833842,0.74657726,0.0038261407,0.05000000074505806
10,0.16808267,0.020976644,0.7490743,0.0040206052,0.07500000298023224
11,0.16874039,0.020917958,0.75205857,0.0041749817,0.10625000298023224
12,0.16941866,0.020985791,0.7553551,0.0042831586,0.17499999701976776
13,0.17021078,0.020965077,0.75823015,0.0043799663,0.15000000596046448
14,0.17105034,0.020952387,0.76121634,0.0044387723,0.18125000596046448
15,0.17163819,0.020833336,0.7627373,0.0044510835,0.2562500238418579
16,0.17196871,0.020774737,0.76355606,0.004418828,0.125
17,0.17226458,0.020889504,0.7640645,0.0044088964,0.1875
18,0.17266254,0.021035142,0.7647163,0.0043692165,0.21250000596046448
19,0.17315136,0.021312006,0.765896,0.004374723,0.2562500238418579
20,0.17366786,0.021593755,0.76727533,0.0043957666,0.40625
21,0.17428046,0.021670109,0.7692334,0.0044357316,0.45000001788139343
22,0.17494108,0.021715889,0.77128774,0.0044862772,0.4437500238418579
23,0.1755886,0.02169096,0.773592,0.0045144497,0.44999998807907104
24,0.1762211,0.02165864,0.7757403,0.0045605805,0.3687499761581421
25,0.17683163,0.021642854,0.77784604,0.004606607,0.3812499940395355
26,0.17729501,0.02164585,0.7795315,0.0046199653,0.35624998807907104
27,0.17778903,0.02165673,0.7813818,0.0046525695,0.4375
28,0.1782606,0.02164132,0.7831209,0.004676916,0.46875
29,0.17865649,0.021608705,0.7847662,0.0047077653,0.375
30,0.17904526,0.021499738,0.7863081,0.0047304593,0.4000000059604645
31,0.17946869,0.021494651,0.78779906,0.0047587943,0.41874998807907104
32,0.17985605,0.02142395,0.7893143,0.004793487,0.42500001192092896
