epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.16537675,0.008154791,0.7421043,0.004829488,0.0
1,0.1650044,0.036264107,0.7365105,0.0032099392,0.0
2,0.16453846,0.043765664,0.7328405,0.0028024986,0.0
3,0.16447893,0.047976393,0.73194414,0.0026837867,0.0062500000931322575
4,0.16465126,0.04982644,0.73201245,0.0025656528,0.012500000186264515
5,0.1647708,0.050467853,0.7324465,0.002495868,0.0062500000931322575
6,0.16561131,0.050375786,0.7332347,0.0025398713,0.0062500000931322575
7,0.16593796,0.050182853,0.7332609,0.0026910407,0.01875000074505806
8,0.16687146,0.049523443,0.73532534,0.002906142,0.05624999850988388
9,0.16743477,0.0487306,0.7367653,0.0031315538,0.07500000298023224
10,0.16808487,0.047870617,0.7377482,0.0032736913,0.09375
11,0.16876155,0.047656454,0.7382934,0.0035090477,0.16874998807907104
12,0.16932851,0.047661904,0.740781,0.003705599,0.125
13,0.17066592,0.04717374,0.7455842,0.0039656204,0.13124999403953552
14,0.17194484,0.04632718,0.75076085,0.0041563264,0.11875000596046448
15,0.1730309,0.04600395,0.7542408,0.0042615156,0.14999999105930328
16,0.1736416,0.04573996,0.75645214,0.004324868,0.21250000596046448
17,0.17410928,0.045145348,0.75847673,0.004352817,0.20624999701976776
18,0.17461103,0.0450491,0.7604266,0.004387574,0.20624999701976776
19,0.17522521,0.044859953,0.7624666,0.004465084,0.26249998807907104
20,0.17585748,0.044525914,0.7649476,0.004559107,0.29374998807907104
21,0.17644176,0.04412874,0.7672382,0.0046200994,0.26875001192092896
22,0.17703204,0.044145193,0.7692866,0.004697725,0.3125
23,0.17764336,0.044196058,0.77157897,0.004765103,0.36250001192092896
24,0.17810039,0.04375585,0.77363724,0.004812108,0.36250001192092896
25,0.17852138,0.043303765,0.77559453,0.004835244,0.3812500238418579
26,0.17903242,0.042896103,0.7776746,0.004857821,0.3500000238418579
27,0.17947696,0.04266567,0.7793741,0.00487729,0.4000000059604645
28,0.17984915,0.042469572,0.7808344,0.004885694,0.3812500238418579
29,0.18027307,0.042334966,0.78263354,0.0049108653,0.36250001192092896
30,0.18059282,0.04222186,0.7841467,0.0049144556,0.3999999761581421
31,0.18094765,0.04209748,0.78544444,0.0049139266,0.3187499940395355
32,0.1812728,0.04214733,0.7867903,0.0049122204,0.38750001788139343
33,0.18164608,0.04196392,0.7879855,0.0049020313,0.44999998807907104
34,0.18193965,0.041880064,0.7892081,0.00492117,0.4000000059604645
35,0.18226029,0.041670855,0.7904299,0.0049238224,0.5062500238418579
36,0.18247318,0.041521054,0.7915213,0.004919626,0.4437499940395355
37,0.18284889,0.04135723,0.7927397,0.0049289367,0.4312500059604645
38,0.18316016,0.041173477,0.7938569,0.0049256952,0.39375001192092896
39,0.18338126,0.04113211,0.794795,0.0049091717,0.518750011920929
40,0.18361439,0.041042365,0.7956458,0.0048984545,0.4749999940395355
41,0.1838871,0.041098185,0.796438,0.0048998985,0.48750001192092896
42,0.18411636,0.041057225,0.7973307,0.0048937746,0.48750001192092896
43,0.18433374,0.04111537,0.79813576,0.0048830216,0.48749998211860657
44,0.18446779,0.041081786,0.7986042,0.0048791203,0.46875
45,0.18461293,0.04105788,0.799179,0.004874917,0.48124998807907104
46,0.18482098,0.040977154,0.7999232,0.004864376,0.5062500238418579
47,0.18503842,0.040902004,0.8006038,0.004841969,0.5249999761581421
48,0.1852244,0.040904947,0.80128884,0.0048350855,0.543749988079071
49,0.18539666,0.04084028,0.8018972,0.0048177787,0.5375000238418579
50,0.18560117,0.04067765,0.8026522,0.004806848,0.5187499523162842
51,0.18581975,0.04062326,0.803407,0.0047925026,0.5437500476837158
52,0.18610357,0.04058558,0.8042607,0.0047874846,0.512499988079071
53,0.18630579,0.040493213,0.80491304,0.0047748885,0.543749988079071
54,0.18650663,0.040477082,0.80557466,0.004773201,0.606249988079071
55,0.18673109,0.040447917,0.8062084,0.004769649,0.48750001192092896
56,0.18698554,0.04056703,0.8069773,0.0047658295,0.543749988079071
57,0.18715872,0.040462337,0.80759877,0.0047531007,0.5062500238418579
58,0.18729253,0.040434837,0.8081424,0.004747057,0.46875
59,0.18750463,0.0404379,0.8087812,0.004743393,0.5874999761581421
60,0.18763044,0.040399585,0.8092056,0.004746737,0.5562499761581421
61,0.18779157,0.040380463,0.80979824,0.0047512986,0.5375000238418579
62,0.18795754,0.04039495,0.81032926,0.0047478373,0.637499988079071
63,0.18808807,0.040503055,0.8107093,0.004741285,0.5625
64,0.18820532,0.04045467,0.8112282,0.004729533,0.625
65,0.18830849,0.04041904,0.81168133,0.0047250725,0.5750000476837158
66,0.18836421,0.04045652,0.8119047,0.0047202674,0.6312500238418579
67,0.18842733,0.040452644,0.81218034,0.0047163866,0.5750000476837158
68,0.18847935,0.040428422,0.81249005,0.004708069,0.65625
69,0.1885421,0.040443625,0.8127168,0.004710535,0.5562499761581421
70,0.18863219,0.040437993,0.8130513,0.004712185,0.5874999761581421
71,0.1887026,0.040555693,0.8133083,0.0047064032,0.612500011920929
72,0.18879084,0.04058954,0.8136262,0.004703281,0.5999999642372131
73,0.18885921,0.040609222,0.8138633,0.004701019,0.6187499761581421
74,0.18889974,0.040608887,0.81404305,0.0046988395,0.5687500238418579
75,0.18896933,0.040597394,0.8143154,0.004693172,0.5437500476837158
76,0.18901356,0.040649038,0.8145079,0.00469444,0.606249988079071
77,0.18903752,0.040612396,0.8147337,0.004687606,0.612500011920929
78,0.18908016,0.040582433,0.8149536,0.004681086,0.6187499761581421
79,0.18914415,0.04064022,0.8151574,0.00468513,0.6812499761581421
80,0.18920267,0.04060857,0.81533194,0.0046788515,0.59375
81,0.18928124,0.040612612,0.81556755,0.0046741976,0.65625
82,0.18932018,0.040538598,0.81584126,0.0046741664,0.643750011920929
83,0.18935388,0.04047428,0.8159843,0.0046746177,0.6625000238418579
84,0.18938494,0.04047109,0.816252,0.0046717473,0.6312500238418579
85,0.1894331,0.04046709,0.8165021,0.004666056,0.6062500476837158
86,0.1895252,0.040440936,0.81675714,0.004660525,0.6187500357627869
87,0.18953684,0.04040769,0.8168803,0.0046503986,0.6437499523162842
88,0.18960732,0.04037572,0.81711143,0.004647731,0.606249988079071
89,0.18962596,0.04037052,0.817347,0.004641084,0.643750011920929
90,0.18966496,0.040339228,0.81761503,0.004630673,0.59375
91,0.18970801,0.04031655,0.81783813,0.0046211476,0.612500011920929
92,0.18977942,0.040280662,0.81800526,0.004610421,0.637499988079071
93,0.1898367,0.04031564,0.81818557,0.004604123,0.5874999761581421
94,0.18988203,0.040304076,0.8182688,0.0045965654,0.6437499523162842
95,0.18991806,0.040323433,0.8183772,0.0045928075,0.6062500476837158
96,0.18996796,0.040296033,0.8185389,0.0045844405,0.6437499523162842
97,0.18999782,0.04026773,0.8186447,0.0045763734,0.5875000357627869
98,0.1900824,0.040254988,0.8188947,0.004572567,0.6062500476837158
99,0.1901268,0.040244017,0.81901336,0.0045664865,0.612500011920929
