epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.16507436,0.008192586,0.74117106,0.0045443284,0.0
1,0.16492505,0.008374727,0.7412519,0.0042940225,0.0
2,0.16527529,0.008420503,0.74228424,0.004365505,0.008333333457509676
3,0.16564506,0.008796316,0.7428598,0.0042423154,0.0
4,0.1660661,0.008811556,0.74380046,0.004208825,0.0
5,0.16681935,0.009104659,0.7452553,0.0042535844,0.025000000993410747
6,0.16782235,0.009530777,0.74851483,0.004436724,0.033333333830038704
7,0.1682834,0.009855559,0.7507432,0.0045893253,0.07499999801317851
8,0.16865075,0.010580098,0.752417,0.004662235,0.11666667461395264
9,0.16892159,0.010961784,0.7536375,0.0047122766,0.17499999205271402
10,0.16951011,0.011337728,0.7556829,0.0047729984,0.19166666269302368
11,0.16997442,0.011560971,0.7574692,0.0047970996,0.1583333412806193
12,0.17048787,0.011760474,0.75930357,0.0048016314,0.23333332935969034
13,0.170988,0.012028365,0.7613316,0.0048411726,0.18333333730697632
14,0.17148793,0.012461101,0.76335096,0.0048992946,0.3083333571751912
15,0.17205484,0.0128284665,0.76588184,0.004976952,0.26666667064030963
16,0.17258827,0.013109777,0.7681665,0.00502617,0.2916666507720947
17,0.17305489,0.01329804,0.7704597,0.0050996677,0.28333332538604736
18,0.1735042,0.013614826,0.77228826,0.005123896,0.46666669845581055
19,0.17406693,0.013872764,0.7747345,0.0051560155,0.4166666666666667
20,0.17461109,0.013949386,0.77702355,0.005179043,0.34999998410542804
21,0.17507635,0.0140284,0.7791729,0.005187033,0.40000001589457196
22,0.17560071,0.014183913,0.78113645,0.0051827133,0.3416666587193807
23,0.1761181,0.014303114,0.78320485,0.00520259,0.34166669845581055
24,0.17665365,0.014471726,0.7851712,0.0052306596,0.5
25,0.1771081,0.014596703,0.7868263,0.0052353046,0.4500000476837158
26,0.17750078,0.014666842,0.7883161,0.0052396343,0.38333336512247723
27,0.17788404,0.014717733,0.78968406,0.005242594,0.4333333174387614
28,0.17823024,0.014849317,0.79090977,0.005244032,0.5166666507720947
29,0.17853512,0.01493004,0.79203945,0.0052329297,0.4583333333333333
30,0.17881405,0.014988537,0.7930753,0.0052207415,0.5583333174387614
31,0.17907797,0.015060451,0.7941621,0.005209653,0.5583333174387614
32,0.17933534,0.015178699,0.7949675,0.005187082,0.6000000238418579
33,0.17957409,0.01525352,0.7959874,0.005180308,0.5083333253860474
34,0.179774,0.015285665,0.7967827,0.0051685954,0.5833333333333334
35,0.17996906,0.015384056,0.79758996,0.0051468597,0.6416666905085245
36,0.18013752,0.015414686,0.79842025,0.0051376936,0.6166666348775228
37,0.18034668,0.015444368,0.79916126,0.005112923,0.6333333253860474
38,0.18045221,0.015502232,0.7997064,0.0050955215,0.6833332379659017
39,0.18058887,0.015599996,0.8003085,0.0050787576,0.6999999682108561
40,0.18070419,0.015639417,0.80080193,0.0050616977,0.6666666666666666
41,0.18083672,0.015709117,0.80130774,0.005039073,0.7416666348775228
42,0.18094425,0.01570815,0.80176145,0.005013836,0.5583333571751913
43,0.18106121,0.01574986,0.80227184,0.0049945894,0.7583333651224772
44,0.18116064,0.015787672,0.8027515,0.0049722623,0.7750000158945719
45,0.18123606,0.01584456,0.8030382,0.004948177,0.7666666507720947
46,0.18133062,0.015903175,0.80334854,0.0049283453,0.7416667143503824
47,0.18141302,0.015908388,0.8037031,0.0049097626,0.7916666666666666
48,0.18150213,0.015963556,0.80400664,0.004891509,0.6833333969116211
49,0.18158787,0.015993303,0.80438,0.004878912,0.8249999682108561
50,0.18169728,0.016048256,0.8047714,0.0048583266,0.8333333333333334
51,0.18177539,0.016058993,0.80513215,0.0048439307,0.6833333174387614
52,0.18186869,0.016107678,0.80547285,0.004832063,0.7833333015441895
53,0.18197387,0.01614917,0.80585504,0.0048193387,0.8416666189829508
54,0.18206449,0.016137665,0.806186,0.004800491,0.8166666825612386
55,0.18214831,0.016151274,0.8064988,0.004785593,0.7166666984558105
56,0.1822323,0.016181076,0.80680114,0.00477164,0.7333332697550455
57,0.18231447,0.01621814,0.80709714,0.0047549135,0.7666666507720947
58,0.18237801,0.01625573,0.8072466,0.0047367294,0.6916666825612386
59,0.18246156,0.016291823,0.80753046,0.004722804,0.7583333651224772
60,0.18253762,0.016361065,0.80779487,0.0047100997,0.8583333492279053
61,0.18260436,0.016384438,0.80805725,0.0047008363,0.7583333651224772
62,0.1826394,0.016398268,0.808225,0.0046899244,0.7416666348775228
63,0.18270354,0.016422145,0.80840856,0.0046788356,0.8000000317891439
64,0.1827891,0.01640813,0.8087008,0.004667524,0.7583333651224772
65,0.18285593,0.016474176,0.80896467,0.004655314,0.7750000158945719
66,0.18292898,0.016503442,0.8092029,0.0046425755,0.7249999841054281
67,0.18299152,0.01653722,0.80938405,0.0046344604,0.8083333969116211
68,0.18303673,0.016591651,0.8095525,0.004621943,0.6833333174387614
69,0.18308339,0.016635722,0.8097423,0.0046154615,0.7166666984558105
70,0.18312286,0.016693065,0.8099106,0.0046089436,0.8000000317891439
71,0.18320717,0.016714672,0.81020087,0.00460051,0.7000000476837158
