epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.1768813,0.008323072,0.73755556,0.005331727,0.0
1,0.17683576,0.007927004,0.73641616,0.0050768666,0.0062500000931322575
2,0.17774168,0.0076706787,0.74071234,0.0050250464,0.03750000149011612
3,0.17812765,0.007753359,0.7427795,0.0051639494,0.14375001192092896
4,0.1792245,0.008061605,0.7473399,0.0055039786,0.125
5,0.1805591,0.008416724,0.7528643,0.0059687444,0.1875
6,0.18200965,0.008784569,0.75896543,0.0063837008,0.18125000596046448
7,0.18329062,0.00909135,0.76456714,0.0068040155,0.23125000298023224
8,0.18518347,0.009300579,0.77260846,0.007096609,0.21875
9,0.18672918,0.009411998,0.7792348,0.0072719543,0.3687500059604645
10,0.18814237,0.009454124,0.7854044,0.007343985,0.28125
11,0.18916696,0.009522928,0.78978986,0.007392574,0.2562500238418579
12,0.19007649,0.009594787,0.7936988,0.0074484483,0.3187499940395355
13,0.1909228,0.009525836,0.7973981,0.007371292,0.2875000238418579
14,0.19136947,0.009454465,0.79931736,0.0072440743,0.25
15,0.19186422,0.009334234,0.8013918,0.0071061044,0.28125
16,0.1923424,0.009247754,0.80343944,0.0069413222,0.39375001192092896
17,0.19283037,0.00917593,0.8055796,0.006832045,0.33125001192092896
18,0.19329228,0.009074959,0.8075374,0.00670949,0.30625003576278687
19,0.19372207,0.0089904275,0.80933,0.0065713716,0.2562499940395355
20,0.1941927,0.008901533,0.81133384,0.0064647174,0.28125
21,0.19451524,0.00884205,0.81274486,0.0063851043,0.3125
22,0.19470324,0.008780189,0.8136,0.006301669,0.3125
23,0.19493715,0.008728692,0.8146181,0.0062441886,0.39375001192092896
24,0.19511336,0.008675245,0.815357,0.00616736,0.38749998807907104
25,0.19527787,0.008623656,0.8160639,0.0060858354,0.3187500238418579
26,0.19538102,0.008561036,0.8165695,0.0060020164,0.38750001788139343
27,0.19554615,0.008498749,0.81735414,0.00593284,0.3375000059604645
