epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.17666408,0.008087206,0.73657274,0.0052363854,0.012500000186264515
1,0.17745256,0.00783722,0.7392492,0.005132943,0.10000000149011612
2,0.17840311,0.0076167546,0.7434538,0.00503568,0.11874999850988388
3,0.17897844,0.007789636,0.7463488,0.005339442,0.17500001192092896
4,0.18007456,0.008144757,0.7508262,0.005774902,0.10625000298023224
5,0.1815355,0.008485284,0.756828,0.00619104,0.10124999105930328
6,0.18342705,0.0087498315,0.7648268,0.006592409,0.15000000596046448
7,0.18505293,0.008968916,0.77175933,0.0069864164,0.1562499940395355
8,0.18675607,0.009131629,0.7790217,0.0072611435,0.1875
9,0.18834476,0.009292919,0.7856398,0.007427336,0.13125001192092896
10,0.18971114,0.009347156,0.7915309,0.0074287807,0.13124998807907104
11,0.19079298,0.009379868,0.79611444,0.007364612,0.18125
12,0.19166525,0.009433045,0.79987884,0.007366846,0.2187499940395355
13,0.19248936,0.009431912,0.80359906,0.007268512,0.21250000596046448
14,0.19306532,0.0093977535,0.8060987,0.0071324385,0.23750001192092896
15,0.19354326,0.009333974,0.8082349,0.007017219,0.3125
16,0.1940567,0.00926471,0.81056833,0.006906161,0.3187500238418579
17,0.19436564,0.0092038615,0.8119864,0.006803704,0.34375
18,0.19471371,0.009137515,0.81352425,0.006686822,0.33125001192092896
19,0.19500092,0.009064365,0.81486994,0.0065919147,0.36250001192092896
20,0.19534563,0.008979715,0.8163905,0.0064868196,0.35625001788139343
21,0.1955958,0.008925981,0.81747,0.0064076707,0.30000001192092896
22,0.19586143,0.008852236,0.8186175,0.0063132565,0.3375000059604645
23,0.1960985,0.008792001,0.81968,0.006239632,0.39375001192092896
24,0.19630766,0.008713603,0.8206044,0.006155245,0.3812500238418579
25,0.19646561,0.008644628,0.82135934,0.006088654,0.3125
26,0.1965845,0.008563658,0.82196164,0.006008502,0.36250001192092896
27,0.19664612,0.008502522,0.82231426,0.005948922,0.2875000238418579
28,0.19670734,0.008450157,0.82265073,0.0059057935,0.22499999403953552
29,0.19670637,0.008397043,0.82275015,0.005861949,0.38749998807907104
30,0.19669837,0.008347499,0.8227684,0.005816333,0.3125
31,0.19676256,0.008308587,0.8231297,0.0057770796,0.35624998807907104
32,0.1968295,0.00827504,0.82348186,0.0057299878,0.29374998807907104
33,0.19693124,0.008237816,0.82395667,0.005681776,0.375
34,0.19703019,0.008202151,0.82439667,0.0056366534,0.3999999761581421
35,0.19715406,0.008174106,0.82491547,0.005594846,0.35624998807907104
36,0.19723001,0.008156265,0.8252112,0.0055566207,0.3687499761581421
37,0.19730385,0.008133902,0.82555526,0.0055287345,0.3187500238418579
38,0.19741344,0.008102179,0.8260405,0.005481563,0.38749998807907104
39,0.19753362,0.008080777,0.82651496,0.005440476,0.41875001788139343
40,0.19764423,0.008062047,0.8269729,0.005409183,0.35624998807907104
41,0.19772929,0.008050825,0.82733387,0.0053808563,0.4312500059604645
42,0.19778278,0.008040842,0.82753676,0.005347349,0.4312499761581421
43,0.19783981,0.008032122,0.8277847,0.0053237323,0.35625001788139343
44,0.19792713,0.008026601,0.82813954,0.005292592,0.3375000059604645
45,0.19798218,0.008020276,0.8283749,0.0052658063,0.3187500238418579
46,0.19807595,0.008009209,0.82876235,0.0052365684,0.375
47,0.1981654,0.008001816,0.82915306,0.005218394,0.4124999940395355
48,0.19826679,0.00799185,0.82957846,0.005193142,0.41875001788139343
49,0.19834606,0.007982227,0.8298845,0.0051681823,0.375
50,0.1984462,0.007979368,0.83027774,0.0051468574,0.375
51,0.19849858,0.007966118,0.83048326,0.0051218253,0.42500001192092896
52,0.19853018,0.0079484675,0.83066344,0.005112476,0.4437499940395355
53,0.19859938,0.007932689,0.8309536,0.005100112,0.375
54,0.19866663,0.007916228,0.8312487,0.0050757197,0.5125000476837158
55,0.19869955,0.007890771,0.83140993,0.005057402,0.41874998807907104
56,0.1987594,0.007876937,0.83165646,0.0050418195,0.45625001192092896
57,0.19879152,0.0078590745,0.8318204,0.0050251973,0.4437500238418579
58,0.19882126,0.007840867,0.83196354,0.0050050314,0.45000001788139343
59,0.19885457,0.007818385,0.8321035,0.0049839313,0.4375
60,0.19888817,0.0078026773,0.8322659,0.0049703065,0.40625
61,0.19892433,0.0077883764,0.8324283,0.004957409,0.4437500238418579
62,0.19896784,0.007782511,0.83262986,0.004946804,0.53125
63,0.19901031,0.0077669127,0.8328088,0.0049308636,0.4687500298023224
64,0.19905113,0.0077583967,0.83301324,0.004921941,0.39375001192092896
65,0.19906908,0.0077558514,0.8331042,0.0049149417,0.40625
66,0.19910307,0.007743484,0.8332515,0.0049067666,0.43125003576278687
67,0.19911806,0.007726516,0.8333137,0.004898641,0.5
68,0.1991284,0.007706397,0.8333613,0.0048880945,0.5062500238418579
69,0.19912821,0.0076888716,0.83336335,0.0048836977,0.45625001192092896
70,0.19912763,0.007672178,0.83336717,0.0048775733,0.42500001192092896
71,0.19911519,0.0076577556,0.83329153,0.0048774914,0.33750003576278687
72,0.19911458,0.0076379017,0.8332774,0.0048756,0.4437500238418579
73,0.19911194,0.007615349,0.8332905,0.0048730895,0.40625
74,0.1991119,0.0075986753,0.8332939,0.0048703984,0.40625
75,0.19913587,0.0075744865,0.833402,0.004858099,0.48125001788139343
76,0.19916563,0.007552813,0.83352,0.0048491624,0.550000011920929
77,0.19921285,0.0075319894,0.833713,0.0048351423,0.40625
78,0.1992441,0.0075125373,0.83387226,0.0048267054,0.5
79,0.19926968,0.0074959947,0.8340021,0.0048174243,0.4749999940395355
80,0.19928221,0.007478286,0.83407086,0.004814633,0.5687500238418579
81,0.19930753,0.0074643637,0.8342028,0.004810948,0.45000001788139343
82,0.19933775,0.0074455477,0.8343394,0.0047992733,0.48124998807907104
83,0.19935028,0.007432767,0.8344097,0.004792658,0.4375
84,0.19935717,0.0074211303,0.8344843,0.0047912416,0.512499988079071
85,0.199367,0.007408836,0.8345449,0.004779506,0.4750000238418579
86,0.19936971,0.0073962943,0.8345693,0.0047679194,0.4749999940395355
87,0.19938332,0.0073895412,0.8346329,0.0047618626,0.5
88,0.19938871,0.007379745,0.83465934,0.0047554015,0.5062500238418579
89,0.19940132,0.007366127,0.8347199,0.004748041,0.4937500059604645
90,0.19941193,0.007353444,0.834764,0.0047408496,0.53125
91,0.19943413,0.0073453393,0.83487254,0.0047347383,0.4375
92,0.19943927,0.007332564,0.83489895,0.0047273873,0.5625
93,0.19944888,0.007319441,0.8349356,0.0047215093,0.5187499523162842
94,0.19944762,0.0073026717,0.83492297,0.004713168,0.4124999940395355
95,0.19946063,0.0072914823,0.8349898,0.004704702,0.5000000238418579
96,0.19946632,0.00727775,0.835025,0.004694358,0.574999988079071
97,0.19947857,0.0072698123,0.835102,0.0046891295,0.5499999523162842
