epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.17734213,0.0064917575,0.7416958,0.0052720383,0.0062500000931322575
1,0.17780302,0.00627041,0.743484,0.0049421736,0.012500000186264515
2,0.17849065,0.006084055,0.7460227,0.0047026095,0.012500000186264515
3,0.17962396,0.0063068606,0.7510314,0.0049897404,0.08750000596046448
4,0.18120004,0.006777501,0.75744516,0.005559964,0.16249999403953552
5,0.18253869,0.007215099,0.7626591,0.006047253,0.17499999701976776
6,0.18365864,0.00742374,0.76729614,0.0063044797,0.14374999701976776
7,0.18494907,0.0075025437,0.7727712,0.0064125224,0.25
8,0.18643822,0.0076026893,0.77903795,0.006541364,0.18125000596046448
9,0.18776526,0.0077109765,0.78456503,0.0066493214,0.29999998211860657
10,0.18863817,0.0077739214,0.7882161,0.0066358796,0.2750000059604645
11,0.18939109,0.007759017,0.7914922,0.0065746526,0.26875001192092896
12,0.19010834,0.0076815947,0.79470897,0.006467601,0.30000001192092896
13,0.19072576,0.0076109134,0.7974842,0.0063692904,0.3062500059604645
14,0.19131075,0.0075432803,0.799984,0.006246105,0.3062500059604645
15,0.19186908,0.0074612345,0.8023684,0.006133054,0.24374999105930328
16,0.1924539,0.007411064,0.8049791,0.006077066,0.3125
17,0.19291177,0.0073342007,0.8070011,0.0059839734,0.2875000238418579
18,0.19322622,0.007251392,0.80836654,0.0058677904,0.21250000596046448
19,0.19354738,0.0071916906,0.8097944,0.005780703,0.29374998807907104
20,0.19386375,0.007144428,0.81122583,0.005720288,0.3375000059604645
21,0.19417435,0.0070866863,0.8126118,0.0056547257,0.3375000059604645
22,0.19452186,0.007037092,0.81415194,0.005592443,0.2749999761581421
23,0.1947706,0.007000001,0.81521034,0.0055296286,0.39375001192092896
24,0.19504139,0.0069779996,0.81643224,0.0054790485,0.375
25,0.19526595,0.0069357757,0.81741387,0.005413817,0.3062500059604645
26,0.1954544,0.006901603,0.8182358,0.005355326,0.3062499761581421
27,0.19560352,0.006872799,0.81890506,0.0053062215,0.2874999940395355
28,0.19572483,0.0068467874,0.81945604,0.0052687693,0.29374998807907104
