epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.17849402,0.0058666538,0.74625874,0.0046331245,0.0
1,0.17869683,0.006110245,0.7465744,0.0045376983,0.08749999850988388
2,0.1794199,0.0060679256,0.7492166,0.004445136,0.07500000298023224
3,0.1800853,0.0064189173,0.75190496,0.00483409,0.21249999105930328
4,0.18174139,0.0070279385,0.75875837,0.0054845735,0.16875000298023224
5,0.18323447,0.007557811,0.76485616,0.0060208044,0.16249999403953552
6,0.18476976,0.007982957,0.7710085,0.006362503,0.26249998807907104
7,0.18663847,0.008347948,0.77857846,0.0066051446,0.21250000596046448
8,0.18850894,0.008623762,0.7862902,0.006783766,0.24375000596046448
9,0.19017069,0.008821529,0.7931483,0.0069116293,0.125
10,0.1916668,0.008925454,0.799516,0.006951906,0.19374999403953552
11,0.19293138,0.008909277,0.8049285,0.0068898215,0.32499998807907104
12,0.19395752,0.008830559,0.80940396,0.006775413,0.24375000596046448
13,0.19472052,0.008756781,0.812821,0.0066681732,0.41874998807907104
14,0.19546978,0.008672429,0.8161946,0.006556406,0.40625
15,0.1959947,0.008622411,0.8185864,0.006453661,0.35625001788139343
16,0.19654989,0.0085789235,0.8211019,0.0063883136,0.3750000298023224
17,0.19700168,0.0085106045,0.82309365,0.0062922277,0.3812500238418579
18,0.19730754,0.008415802,0.8245408,0.006194771,0.3687499761581421
19,0.1975291,0.008316538,0.82563823,0.006102295,0.5
20,0.1976896,0.008219755,0.8264745,0.006005013,0.4312499761581421
21,0.1978846,0.008125506,0.8274842,0.0059181713,0.4437500238418579
22,0.19804625,0.008050547,0.82830524,0.0058444864,0.4375000298023224
23,0.19822454,0.007977212,0.82913923,0.0057659857,0.5062500238418579
24,0.19836713,0.007894,0.82987434,0.005700968,0.606249988079071
25,0.19851299,0.007847183,0.8306074,0.0056445226,0.59375
26,0.19864939,0.0077933418,0.8312686,0.0055877226,0.47499996423721313
27,0.19875166,0.007747601,0.8318167,0.005534142,0.59375
28,0.19886093,0.007699353,0.83239084,0.005484399,0.5
29,0.19893886,0.0076577724,0.8328359,0.005450703,0.668749988079071
30,0.19900255,0.0076141674,0.83321935,0.0054146075,0.6500000357627869
31,0.19907889,0.007574824,0.83367676,0.005382387,0.606249988079071
32,0.19916502,0.0075300355,0.8341324,0.0053492202,0.6312500238418579
33,0.1992398,0.007488163,0.83454293,0.0053213662,0.59375
34,0.19935548,0.0074511524,0.8351229,0.0052945763,0.6000000238418579
35,0.19947639,0.00741341,0.8356829,0.00526049,0.6749999523162842
36,0.19956186,0.0073810536,0.83610225,0.0052272156,0.612500011920929
37,0.19962086,0.007343085,0.8364343,0.0052025015,0.6499999761581421
38,0.19968332,0.007310741,0.8367622,0.005169936,0.6187499761581421
39,0.19973536,0.007287138,0.83705,0.0051530665,0.625
40,0.1997674,0.0072626127,0.83724767,0.005129118,0.65625
41,0.19984098,0.007239667,0.8375843,0.0051082103,0.65625
42,0.19989319,0.0072116964,0.83785105,0.0050858506,0.6875
43,0.1999438,0.007184079,0.8381006,0.005064842,0.581250011920929
44,0.20000483,0.0071535767,0.8384113,0.00505194,0.675000011920929
45,0.20007849,0.007127389,0.8387533,0.005036135,0.7437499761581421
46,0.20013693,0.007098109,0.8390219,0.0050220457,0.6687500476837158
47,0.20017889,0.0070744394,0.8392455,0.0050026034,0.7000000476837158
48,0.2001584,0.0070515233,0.83922577,0.004993146,0.39375001192092896
49,0.20003843,0.0070310105,0.83881354,0.005003513,0.30625003576278687
50,0.1998959,0.0070204735,0.8382761,0.005032013,0.36250001192092896
51,0.19973984,0.0070060627,0.8376787,0.005058423,0.40625
52,0.19956343,0.0069981427,0.8369667,0.005098754,0.5250000357627869
53,0.19940928,0.006989612,0.8363827,0.0051277434,0.518750011920929
54,0.19935532,0.006976163,0.83621067,0.005129401,0.6875
55,0.19938187,0.0069704326,0.83633846,0.0051175305,0.768750011920929
56,0.19941972,0.0069748694,0.83654135,0.005105426,0.7562500238418579
57,0.19944274,0.0069787307,0.8366851,0.0050916974,0.6812500357627869
58,0.19950207,0.0069961445,0.83695847,0.005075812,0.6499999761581421
59,0.19955991,0.007020505,0.83724,0.005069099,0.6187499761581421
60,0.19962238,0.007053011,0.83755046,0.005068026,0.5625
61,0.19970773,0.0070886277,0.8379285,0.005060984,0.5437500476837158
62,0.19978239,0.007128764,0.8382511,0.005057856,0.5437500476837158
63,0.19985396,0.0071689077,0.83857816,0.0050516836,0.7124999761581421
64,0.19992524,0.0072023883,0.83891326,0.0050467555,0.6937500238418579
65,0.1999585,0.0072314306,0.83904105,0.005047422,0.5499999523162842
66,0.19986092,0.0072555607,0.83859295,0.00508121,0.59374998807907104
67,0.19960153,0.0072906106,0.837486,0.0051907557,0.57499999701976776
68,0.1992686,0.007328649,0.8360646,0.0053275093,0.52500000894069672
69,0.19896191,0.0073629045,0.8347821,0.0054606423,0.5562500238418579
70,0.19869572,0.007389843,0.83368206,0.0055836714,0.50625001192092896
71,0.1984847,0.007408067,0.8328045,0.0056744367,0.49375001192092896
72,0.1984181,0.0073960936,0.8325265,0.0056983135,0.543749988079071
73,0.19845738,0.007378687,0.83270305,0.005689215,0.4937499761581421
74,0.19851267,0.0073701544,0.832928,0.0056779585,0.4437500238418579
75,0.1985754,0.0073523326,0.83320385,0.0056632715,0.56875
76,0.19862099,0.0073348098,0.8334026,0.0056523257,0.53125
77,0.19867939,0.0073161502,0.8336468,0.005634904,0.5437500476837158
78,0.19872916,0.00729395,0.83384395,0.0056129885,0.5375000238418579
79,0.1987785,0.0072725248,0.83404326,0.005593302,0.5437500476837158
80,0.19882353,0.0072513334,0.8342361,0.005570613,0.5062500238418579
81,0.1988704,0.007231208,0.83444357,0.005550737,0.5750000238418579
82,0.19891137,0.0072133117,0.83462197,0.005533369,0.59375
