epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.17727135,0.007160361,0.7391227,0.0051467814,0.0
1,0.17815843,0.0070656156,0.74284893,0.00511474,0.012500000186264515
2,0.1783974,0.007187251,0.7438154,0.005102971,0.14375001192092896
3,0.17926037,0.0073727407,0.74737906,0.0053215143,0.16875001788139343
4,0.18049851,0.0076106396,0.7525127,0.0056392676,0.15625
5,0.18198144,0.008074821,0.7586386,0.0060682944,0.16875000298023224
6,0.18341893,0.00833068,0.76451796,0.006305969,0.15000000596046448
7,0.18483864,0.008560612,0.77060217,0.00656552,0.17500001192092896
8,0.18621862,0.008782867,0.7764726,0.006721888,0.23125000298023224
9,0.18766153,0.008956878,0.78263205,0.0068472787,0.3499999940395355
10,0.18920842,0.009036108,0.7891605,0.0068959934,0.32500001788139343
11,0.1906081,0.009073461,0.7951541,0.0068941615,0.25
12,0.1917296,0.009053959,0.80000395,0.006823888,0.41874998807907104
13,0.1925738,0.00900198,0.8038016,0.0067471173,0.375
14,0.19321634,0.0089329025,0.80668145,0.006638193,0.34375
15,0.19366473,0.008843855,0.8087047,0.0065387413,0.40625
16,0.19424206,0.008799415,0.8112593,0.0064536934,0.39375001192092896
17,0.19477285,0.008727379,0.8136141,0.006359326,0.39375001192092896
18,0.19517837,0.008648571,0.81539243,0.0062578744,0.40625
19,0.19555247,0.008575583,0.81700116,0.0061695143,0.3812500238418579
20,0.19586581,0.008492307,0.81847304,0.006080015,0.42500001192092896
21,0.1961967,0.008438722,0.8199455,0.0060241614,0.40625
22,0.19650175,0.008341601,0.8212795,0.0059392154,0.3375000059604645
23,0.19675106,0.008284615,0.8223843,0.0058968402,0.4375
24,0.19694848,0.008233145,0.8232644,0.0058545475,0.5249999761581421
25,0.1970964,0.008180334,0.8239765,0.0058041364,0.5375000238418579
26,0.19723381,0.0081334375,0.824619,0.005757177,0.6000000238418579
27,0.19731173,0.008084077,0.8250468,0.005707605,0.5499999523162842
28,0.197412,0.008027509,0.82553405,0.0056591425,0.45625001192092896
29,0.19755113,0.007978323,0.8261288,0.005613917,0.5249999761581421
30,0.19768286,0.0079372795,0.8267315,0.0055760727,0.5375000238418579
31,0.1978718,0.007886169,0.82757497,0.0055269613,0.5375000238418579
32,0.19800384,0.007845356,0.82820994,0.0054974756,0.65625
33,0.1980311,0.007815109,0.82846457,0.005488033,0.5500000238418579
34,0.19797446,0.007791864,0.8283512,0.0054807067,0.5500000238418579
35,0.19785088,0.007774543,0.82793593,0.0054765325,0.63125001192092896
36,0.19774142,0.0077553852,0.82759315,0.005487407,0.56250001192092896
37,0.19761904,0.00774661,0.8271198,0.0055122147,0.48125001788139343
38,0.19751513,0.007717814,0.8267394,0.005514045,0.5812499523162842
39,0.19745249,0.007689723,0.8264969,0.00551484,0.612500011920929
40,0.19740938,0.007665657,0.8262863,0.0055189836,0.5375000238418579
41,0.19736059,0.007639199,0.82607204,0.005514232,0.5687500238418579
42,0.19734326,0.007611828,0.8259933,0.0055029723,0.6437499523162842
43,0.1973326,0.0075887074,0.8259514,0.0054986947,0.5500000715255737
44,0.19737257,0.0075582885,0.82614166,0.0054760184,0.59375
45,0.19740207,0.007527658,0.8262689,0.0054535326,0.6312500238418579
46,0.19743955,0.007501126,0.8264517,0.0054252,0.6187499761581421
47,0.19745764,0.0074773235,0.8265968,0.0054091294,0.6187500357627869
48,0.19749221,0.007454612,0.82679385,0.0053939526,0.5625
49,0.19752651,0.007434538,0.8269717,0.0053773485,0.59375
50,0.19755624,0.0074148774,0.82714224,0.0053623044,0.45625001192092896
51,0.19758463,0.0074035823,0.8272982,0.005345008,0.6437499523162842
52,0.1976499,0.0073866276,0.8276072,0.00531926,0.5375000238418579
53,0.19768974,0.0073741646,0.8277977,0.0052957567,0.53125
54,0.19773158,0.007359255,0.8280463,0.0052794437,0.6625000238418579
55,0.1977643,0.00734636,0.82822275,0.005265868,0.6937500238418579
56,0.19780606,0.007331324,0.8284026,0.005252532,0.5874999761581421
57,0.19783142,0.00731465,0.8285334,0.0052368715,0.612500011920929
58,0.19784431,0.0072945957,0.8286119,0.0052235234,0.6187500357627869
59,0.19787647,0.0072713685,0.82877445,0.0052130725,0.6187499761581421
60,0.19790658,0.007253014,0.8289497,0.005199177,0.5874999761581421
61,0.1979441,0.007238804,0.82913446,0.0051861648,0.5375000238418579
62,0.19798422,0.007227567,0.8293218,0.005175548,0.625
63,0.19801226,0.007215312,0.8294627,0.005157663,0.6499999761581421
64,0.19804,0.007213713,0.8296105,0.005151014,0.5687500238418579
65,0.19808389,0.0072026784,0.8298288,0.0051387176,0.512499988079071
66,0.19811404,0.0072022323,0.82996446,0.0051286146,0.5249999761581421
67,0.19812442,0.0072054323,0.83003694,0.0051224795,0.5437500476837158
68,0.19814724,0.007200724,0.8301392,0.0051149745,0.59375
69,0.19817497,0.00718399,0.8302655,0.0050988104,0.512499988079071
70,0.19821028,0.007174352,0.83044285,0.005090209,0.574999988079071
