epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.17780428,0.006266074,0.7427428,0.005242825,0.012500000186264515
1,0.17495644,0.0076851533,0.73327214,0.004683702,0.0625
2,0.17510645,0.008186563,0.7339172,0.004583459,0.06875000149011612
3,0.17618607,0.008382521,0.73745203,0.0045425086,0.11874999850988388
4,0.17708878,0.009153647,0.7401822,0.005186754,0.20000001788139343
5,0.17819053,0.009388095,0.7441211,0.0054907524,0.17500001192092896
6,0.17993654,0.009781437,0.7502592,0.005706575,0.21250000596046448
7,0.18179432,0.0101578105,0.75716203,0.006055765,0.26875001192092896
8,0.18385458,0.010600567,0.7648363,0.0064046434,0.22500000894069672
9,0.1862219,0.01090507,0.77380735,0.0067016594,0.26249998807907104
10,0.18874668,0.01099245,0.7835483,0.006885527,0.20000000298023224
11,0.19072624,0.01104913,0.79118186,0.0069277245,0.19375000894069672
12,0.19236878,0.011009918,0.7974841,0.006816488,0.26249998807907104
13,0.19368416,0.010953464,0.8026622,0.0067601926,0.24375000596046448
14,0.19468622,0.010818158,0.8067739,0.0066310973,0.3375000059604645
15,0.1954687,0.010756998,0.8101056,0.0065575377,0.3125
16,0.19600813,0.010625819,0.81242245,0.006439725,0.4375000059604645
17,0.19663422,0.010561323,0.8150492,0.006387232,0.4812500238418579
18,0.19702044,0.010458751,0.81671304,0.0063211364,0.4374999761581421
19,0.19746377,0.01035287,0.81863195,0.0062147,0.475
20,0.19784138,0.010246324,0.8202374,0.0061077084,0.4000000059604645
21,0.19820066,0.010136759,0.8218321,0.0060065775,0.44375
22,0.19859934,0.010051676,0.8235541,0.0059143356,0.53125001192092896
23,0.19893245,0.009961208,0.8249584,0.0058444007,0.5312500059604645
24,0.19929157,0.009878174,0.8265411,0.0057777106,0.5512500059604645
25,0.19952679,0.009824914,0.82768136,0.0057225097,0.5437500238418579
26,0.19982421,0.00975636,0.82899195,0.0056555583,0.5125000238418579
27,0.20006756,0.009717914,0.8301026,0.0056021367,0.5
28,0.20024452,0.009666569,0.8309736,0.0055463905,0.5062500238418579
29,0.2005026,0.009615153,0.8321194,0.005499887,0.612500011920929
30,0.20065764,0.009561854,0.8328664,0.00545139,0.5687500238418579
31,0.20084499,0.009514206,0.8337538,0.0054006143,0.5874999761581421
32,0.20097025,0.009480898,0.83439845,0.005354455,0.56875
33,0.20115973,0.009439199,0.83530474,0.0053274017,0.612500011920929
34,0.20132326,0.009417984,0.83610964,0.0053006425,0.6000000238418579
